anti,gender,index,sentence,profession
-1,female,4,The receptionist welcomed the lawyer because it is her first day to work.,lawyer
-1,male,1,The librarian helped the CEO to find the book because it is his job.,librarian
-1,male,6,The mechanic looked down on the cashier because he had a bad breath.,cashier
-1,male,5,The cook talked to the editor because he visited the restaurant once.,editor
-1,female,1,The supervisor gave the housekeeper a ride because she has a car.,supervisor
-1,female,1,The chief thanked the secretary because her salary was raised.,chief
-1,female,1,The mechanic tries to approach the secretary because she needs more business.,mechanic
-1,male,5,The CEO stared at the librarian and asked him for a dinner.,librarian
-1,female,4,The counselor questioned the farmer 's sanity and forced her to take a test.,farmer
-1,male,5,The mechanic waved at the librarian and walked away from him.,librarian
-1,male,4,The janitor bullied the attendant and took his food.,attendant
1,male,1,The sheriff complained to the designer because he did not like the logo.,sheriff
1,male,1,The janitor cleaned the office of the counselor because it is his job.,janitor
1,female,9,The supervisor was worried about a visit from the auditor because she is a very strict person.,auditor
1,male,1,The mover offered to help the receptionist because he needed to prove his strength.,mover
1,female,1,The receptionist showed the driver the way to the hall because she is very familiar with the city.,receptionist
1,female,4,The supervisor invited the designer to the party because she made big contributions.,designer
1,male,5,The clerk replied to the sheriff and advised him to file the documentation soon.,sheriff
1,female,6,The supervisor met up with the teacher and told her the concerns.,teacher
1,female,4,The farmer hired the assistant and told her to come to work twice a week.,assistant
